Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
78490,DELL,DELL 14 Plus,,4.4,,,,,,,,14
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.1,,,,,,,,
46490,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,3
23990,Acer,Acer Aspire 3,,3.9,,,,,,,,3
27990,Acer,Acer Aspire 3,,4.2,,,,,,,,3
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.2,,,,,,,,
41650,Acer,Acer Aspire 3,,4.2,,2,,,,Intel Core i3-1005G1 (Base 1.20 GHz & Turbo upto 3.40 GHz) 2 Cores,,3
77990,Samsung,Samsung Galaxy Book5,,4.5,,,,,,(10th Gen),,5
33990,Acer,Acer 3 Years,,4.1,,,,,,,,3
50490,DELL,DELL 15 Intel,Light Laptop,4.7,,,,,,,,15
37990,CHUWI,CHUWI Intel Core,,4,,,,,,,,
15990,Acer,Acer Aspire 3,,3.8,,,,,,,,3
45490,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,3
22990,Acer,Acer Aspire 3,,3.9,,,,,,,,3
19990,Acer,Acer Aspire 3,,3.8,,,,,,(12th Gen),,3
37900,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,1
55990,Lenovo,Lenovo IdeaPad Slim,,4.4,,,,,,,,3
58990,Acer,Acer Aspire 14,,4.5,,,,,,,,14
74990,ASUS,ASUS Expertbook P1,,4.3,,,,,,,,
33990,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,1
35990,ASUS,"ASUS Vivobook 15,",,4.3,,,,,,,,15
30990,HP,HP 15,,4.2,,,,,,,,15
68990,DELL,DELL Inspiron 15,,4.2,,,,,,,,15
12789,Lenovo,Lenovo 100e Chromebook,,3.9,,,,,,,,4
39990,Acer,Acer Aspire AMD,,4,,,15.6,,,,,5
69990,HP,HP Intel Core,,5,,,,,,,,
78490,DELL,DELL 14 Plus,,5,,,,,,(12th Gen),,14
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.4,,,,,,,,
36950,HP,HP AMD Ryzen,Light Laptop,5,,,,,,,,5
