Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
6799,POCO,POCO C71,Cool Blue,4.1,128,6,,,,,,
9699,POCO,POCO M7 5G,Mint Green,4.2,,,6.88,,,,,
8999,Samsung,Samsung Galaxy F06,Bahama Blue,4.1,,,,,,,,
11999,MOTOROLA,MOTOROLA g35 5G,Leaf Green,4.2,,,,5200,,,,
8699,POCO,POCO M7 5G,Mint Green,4.1,,,,,,,,
6199,POCO,POCO C71,Desert Gold,3.8,,,,,,,,
14499,vivo,vivo T4x 5G,Glacial Teal,4.4,128,8,,,,,,
6199,POCO,POCO C71,Cool Blue,3.8,,,6.88,,,,,
7499,POCO,POCO C75 5G,Enchanted Green,4.2,,,,,,,,
11999,POCO,POCO M7 Pro,Lunar Dust,4.3,,,,5160,,,,
8699,POCO,POCO M7 5G,Ocean Blue,4.1,,,,,,,,
6199,POCO,POCO C71,Power Black,3.8,,,,,,,,
6799,POCO,POCO C71,Power Black,4.1,64,4,,,,,,
22999,MOTOROLA,MOTOROLA Edge 60,PANTONE Slipstream,4.4,,,6.7,,,,,60
8999,Samsung,Samsung Galaxy F06,Lit Violet,4.1,,,,,,,,
11999,POCO,POCO M7 Pro,Lavender Frost,4.3,,,,5000,,,,
17999,MOTOROLA,MOTOROLA G96 5G,Ashleigh Blue,4.4,,,,,,,,
11999,POCO,POCO M7 Plus,Chrome Silver,4.3,,,,,,,,
13999,POCO,POCO M7 Pro,Lavender Frost,4.2,128,8,,,,,,
8699,realme,realme C71,Sea Blue,4.2,,,6.72,,,,,
9999,Samsung,Samsung Galaxy F06,Lit Violet,4.1,,,,,,,,
16999,realme,realme 15x 5G,Marine Blue,4.4,,,,5000,,,,
6799,POCO,POCO C71,Desert Gold,4.1,,,,,,,,
6499,realme,realme C61,Safari Green,4.4,,,,,,,,
5999,Ai+,Ai+ Pulse,Black,4.2,,,,,,,,
22999,MOTOROLA,MOTOROLA Edge 60,PANTONE Zephyr,5,128,6,,,,,,60
8805,REDMI,REDMI A4,Sparkle Purple,5,,,6.88,,,,,
6932,realme,realme Narzo 80,Obsidian Black,4.4,,,,,,,,80
